"","F_Type","M","M_Type","Multiplier","Parameter","Delta","Species","F","Catch","SSB","SBmsy","Fmsy","Cmsy"
"137","Optimum",0.05,"Length-Based",0.90483741803596,"M_a_All","Small-","long-lived",0.36734693877551,3256340.02000741,16004215.8900489,343201925.283276,0.0561064080932668,18067818.5803404
"138","Optimum",0.05,"Length-Based",0.90483741803596,"M_a_All","Small-","long-lived",0.377551020408163,2956294.11802725,14421453.9973103,343201925.283276,0.0561064080932668,18067818.5803404
"139","Optimum",0.05,"Length-Based",0.90483741803596,"M_a_All","Small-","long-lived",0.387755102040816,2668575.43494547,12930748.5350459,343201925.283276,0.0561064080932668,18067818.5803404
"140","Optimum",0.05,"Length-Based",0.90483741803596,"M_a_All","Small-","long-lived",0.397959183673469,2392702.88255734,11524509.6300587,343201925.283276,0.0561064080932668,18067818.5803404
"141","Optimum",0.05,"Length-Based",0.90483741803596,"M_a_All","Small-","long-lived",0.408163265306122,2128341.81033422,10196555.0808145,343201925.283276,0.0561064080932668,18067818.5803404
"142","Optimum",0.05,"Length-Based",0.90483741803596,"M_a_All","Small-","long-lived",0.418367346938775,1874969.68294729,8940404.72734072,343201925.283276,0.0561064080932668,18067818.5803404
"143","Optimum",0.05,"Length-Based",0.90483741803596,"M_a_All","Small-","long-lived",0.428571428571429,1632208.84912384,7750802.05762925,343201925.283276,0.0561064080932668,18067818.5803404
"144","Optimum",0.05,"Length-Based",0.90483741803596,"M_a_All","Small-","long-lived",0.438775510204082,1399677.39603755,6622924.92140903,343201925.283276,0.0561064080932668,18067818.5803404
"145","Optimum",0.05,"Length-Based",0.90483741803596,"M_a_All","Small-","long-lived",0.448979591836735,1176977.27287318,5552271.94449666,343201925.283276,0.0561064080932668,18067818.5803404
"146","Optimum",0.05,"Length-Based",0.90483741803596,"M_a_All","Small-","long-lived",0.459183673469388,963785.468725436,4535042.318056,343201925.283276,0.0561064080932668,18067818.5803404
"147","Optimum",0.05,"Length-Based",0.90483741803596,"M_a_All","Small-","long-lived",0.469387755102041,759696.419321648,3567348.14410947,343201925.283276,0.0561064080932668,18067818.5803404
"148","Optimum",0.05,"Length-Based",0.90483741803596,"M_a_All","Small-","long-lived",0.479591836734694,564381.836343088,2645930.08885679,343201925.283276,0.0561064080932668,18067818.5803404
"149","Optimum",0.05,"Length-Based",0.90483741803596,"M_a_All","Small-","long-lived",0.489795918367347,377483.717935976,1767620.41483774,343201925.283276,0.0561064080932668,18067818.5803404
"150","Optimum",0.05,"Length-Based",0.90483741803596,"M_a_All","Small-","long-lived",0.5,198705.05065138,929739.676031638,343201925.283276,0.0561064080932668,18067818.5803404
"151","Optimum",0.05,"Length-Based",0.9999990000005,"M_a_All","Diff-","long-lived",0,0,500003842.878538,165529242.100557,0.0424603898966011,6649890.73641384
"152","Optimum",0.05,"Length-Based",0.9999990000005,"M_a_All","Diff-","long-lived",0.0102040816326531,3686602.15446392,371022214.003148,165529242.100557,0.0424603898966011,6649890.73641384
"153","Optimum",0.05,"Length-Based",0.9999990000005,"M_a_All","Diff-","long-lived",0.0204081632653061,5553058.00531846,281734858.642031,165529242.100557,0.0424603898966011,6649890.73641384
